I                         i_b00                     i_b10                     i_b20                     i_b30                     i_b45                     
1                         0                         0                         0                         0                         0                         
1                         0                         0                         0                         0                         0                         
2                         1.098394888120376         9.924525176489016         19.89957591745612         30.14621820650828         44.88472141802198         
3                         2.072288719671931         9.946369023995452         19.84606324824022         30.06980088777098         44.7864920001732          
4                         3.05598913419343          10.06487462242058         19.83979495696351         30.02275468426323         44.70532341263695         
5                         4.042343146592942         10.27669823891291         19.88081577820953         30.00521881977891         44.64131300962107         
6                         5.029789842720375         10.57623382191084         19.96883386722875         30.01724541146658         44.59453805574255         
7                         6.017791347063482         10.95628906905407         20.10323105329459         30.05879870481821         44.56505528605532         
8                         7.006112946690934         11.40881896337546         20.28308409924843         30.12975559908074         44.55290058027541         
9                         7.994635938569723         11.92557484155562         20.50719530079085         30.22990744515005         44.55808875561068         
10                        8.983293857200142         12.49859168772648         20.77413014918307         30.35896305505603         44.58061348102081         
11                        9.972046597269873         13.12049885815263         21.08225946271863         30.51655282287366         44.62044731408236         
12                        10.96086853112186         13.78467925448074         21.42980337272336         30.70223382353183         44.67754185995395         
13                        11.9497425221644          14.48531750660089         21.81487478674149         30.91549573024039         44.75182805027001         
14                        12.93865668223209         15.21737697914406         22.23552037038651         31.15576737414571         44.84321653817662         
15                        13.92760250989362         15.97653723993653         22.68975760375647         31.42242376168468         44.95159820420158         
16                        14.9165737691414          16.75911399338536         23.1756069984665          31.71479336558809         45.0768447662555          
17                        15.90556578635            17.5619752442723          23.69111904574294         32.03216551367437         45.21880948582373         
18                        16.89457499416905         18.38246143435268         24.23439586626495         32.37379771413735         45.37732796135389         
19                        17.88359862678474         19.21831331748038         24.80360783209125         32.73892277538532         45.55221899898981         
20                        18.87263451103678         20.0676089192818          25.39700563085866         33.1267556009644          45.74328555016131         
21                        19.86168091998331         20.92870957014826         26.01292835448465         33.53649956409497         45.95031570511335         
22                        20.85073646818162         21.80021431551911         26.64980823646876         33.96735239044018         46.17308373124852         
23                        21.83980003546023         22.6809217225105          27.30617265246012         34.41851150073364         46.41135114515272         
24                        22.82887071054152         23.56979804019377         27.98064395541746         34.88917878593136         46.66486780736265         
25                        23.81794774874326         24.46595072384438         28.67193765383104         35.37856480602362         46.9333730292978          
26                        24.80703053982817         25.36860643787694         29.37885937005949         35.88589241921255         47.21659668229708         
27                        25.7961185832761          26.27709277271936         30.10030094356725         36.41039986073203         47.51426029934569         
28                        26.7852114690585          27.19082302921449         30.83523597567626         36.95134330023645         47.82607816082995         
29                        27.77430886254138         28.10928353168867         31.58271505118151         37.50799891362762         48.15175835648646         
30                        28.76341049252129         29.03202302442812         32.34186081908113         38.07966450972391         48.49100381659511         
31                        29.7525161416631          29.95864378563957         33.11186306995654         38.66566075464834         48.84351330637854         
32                        30.74162563879689         30.88879415908968         33.89197391077409         39.26533203758353         49.20898237849214         
33                        31.73073885266602         31.8221622581325          34.68150310828063         39.87804702096088         49.58710427939799         
34                        32.71985568681779         32.75847064146847         35.47981364878637         40.50319891654412         49.97757080629786         
35                        33.70897607539965         33.69747179637653         36.28631754400364         41.14020552652028         50.38007311214054         
36                        34.6980999796786          34.63894429477129         37.10047189881853         41.78850908587093         50.79430245700395         
37                        35.68722738514169         35.58268951150605         37.9217752465961          42.44757593916655         51.21995090487816         
38                        36.67635829906574         36.52852881391162         38.74976415013936         43.11689608167134         51.65671196553128         
39                        37.66549274846852         37.47630114748079         39.58401006114094         43.79598259139017         52.10428118172759         
40                        38.65463077837123         38.42586095558286         40.42411642738301         44.48437097552775         52.56235666257979         
41                        39.64377245031579         39.37707638168219         41.26971603465736         45.18161845183063         53.0306395642607          
42                        40.63291784109259         40.32982771119968         42.12046856906436         45.88730318248605         53.50883451967079         
43                        41.6220670416409          41.28400601725916         42.9760583847595          46.6010234756873          53.9966500189653          
44                        42.61122015609324         42.2395119804021          43.8361924621444          47.32239696765152         54.49379874308644         
45                        43.60037730093874         43.19625485716799         44.70059854179548         48.05105979579713         54.99999785263331         
46                        44.58953860428542         44.15415157641513         45.5690234199699          48.78666577194326         55.51496923453479         
47                        45.57870420520499         45.11312594555529         46.44123139223625         49.52888556277652         56.03843970907742         
48                        46.5678742531462          46.07310795161478         47.31700283258082         50.27740588341984         56.57014119988457         
49                        47.55704890740565         47.03403314431853         48.19613289619172         51.03192870872162         57.10981086945283         
50                        48.5462283366459          47.99584209030203         49.07843033498691         51.79217050583959         57.65719122282871         
51                        49.53541271845342         48.95847988915459         49.96371641580356         52.55786149080642         58.21203018196078         
52                        50.52460223892925         49.92189574334133         50.8518239319901          53.32874491101465         58.77408113319316         
53                        51.51379709230692         50.88604257518309         51.74259629992525         54.10457635493139         59.34310295027947         
54                        52.50299748059236         51.85087668502964         52.63588673272636         54.8851230898314          59.9188599951955          
55                        53.49220361322237         52.81635744557082         53.53155748409719         55.67016342790812         60.50112209892036         
56                        54.48141570673751         53.78244702791839         54.42947915590265         56.45948612077328         61.08966452423675         
57                        55.47063398446694         54.74911015567591         55.32953006364465         57.25288978207279         61.68426791248079         
58                        56.45985867622242         55.7163138837134          56.23159565455273         58.05018233772402         62.2847182160474          
59                        57.4490900179994          56.6840273987905          57.13556797349364         58.85118050310418         62.89080661833291         
60                        58.43832825168344         57.65222183953751         58.04134517235352         59.65570928638643         63.50232944267403         
61                        59.42757362476027         58.62087013361889         58.9488310589532          60.46360151712101         64.11908805172136         
62                        60.41682639002834         59.5899468501733          59.85793468192657         61.27469739908874         64.74088873856886         
63                        61.40608680531257         60.5594280658589          60.7685699483276          62.08884408640714         65.36754261084775         
64                        62.39535513317854         61.52929124303429         61.68065527103356         62.90589528184241         65.99886546888594         
65                        63.38463164064609         62.49951511878019         62.59411324328678         63.72571085626865         66.63467767893107         
66                        64.37391659890196         63.47007960361937         63.50887033796356         64.54815648821663         67.27480404233889         
67                        65.36321028301064         64.44096568892384         64.42485662938351         65.37310332246565         67.91907366153659         
68                        66.35251297162327         65.41215536211439         65.34200553567221         66.20042764665003         68.56731980348717         
69                        67.34182494668394         66.38363152885681         66.26025357987382         67.03001058487735         69.21937976129871         
70                        68.33114649313328         67.35537794154838         67.17954016817235         67.86173780738389         69.8750947145513          
71                        69.3204778986093          68.32737913346386         68.09980738372928         68.69549925528554         70.53430958884363         
72                        70.30981945314488         69.29962035799875         69.02099979477795         69.53118887951594         71.19687291499963         
73                        71.29917144886225         70.2720875325063          69.94306427573515         70.36870439308086         71.86263668831671         
74                        72.28853417966425         71.24476718627685         70.86594984019887         71.20794703579195         72.53145622818428         
75                        73.27790794092229         72.21764641225458         71.78960748479899         72.04882135068108         73.20319003835252         
